Date,Open,High,Low,Close,Volume
2016-09-22,54.696,54.774,54.422,54.602,19552161
2016-09-23,54.649,54.686,54.187,54.234,19940117
2016-09-26,53.903,53.96,53.668,53.733,21167231
2016-09-27,53.761,54.827,53.527,54.726,25116707
2016-09-28,54.659,54.827,54.461,54.801,19882464
2016-09-29,54.592,54.931,54.026,54.205,25486952
2016-09-30,54.365,54.554,54.149,54.393,21009160
2016-10-03,54.209,54.349,53.885,54.224,19747974
2016-10-04,54.084,54.389,53.8,54.055,20324976
2016-10-05,54.103,54.735,54.074,54.432,16058643
2016-10-06,54.526,54.64,54.094,54.526,16372560
2016-10-07,54.63,54.755,54.224,54.583,20091832
2016-10-10,54.686,55.139,54.649,54.81,18005234
